Section,Item,USD,RUB
REVENUE,TOTAL,235.0,22325.0
REVENUE,cpa_network,235.0,22325.0
SPEND,TOTAL,0.0,0.0
SPEND,content,0.0,0.0
SPEND,tools,0.0,0.0
FEES,TOTAL,0,0.0
NET,PROFIT,235.0,22325.0
